gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000282885_AL627171.2,ENSG00000282885,1583051.16997112,1583051.16997112,1229758.846836,1583051.16997112,-0.36433219377593,1,head,Down,,,normcounts
ENSG00000198804_MT-CO1,ENSG00000198804,484703.085243584,484703.085243584,485697.050282871,484703.085243584,0.00295545296529554,2,head,Neutral,,,normcounts
ENSG00000156508_EEF1A1,ENSG00000156508,381093.808611066,381093.808611066,338399.02462909,381093.808611066,-0.171420281996387,3,head,Neutral,,,normcounts
ENSG00000251562_MALAT1,ENSG00000251562,221977.625220834,221977.625220834,312083.299216236,221977.625220834,0.491515014729544,4,head,Up,,,normcounts
ENSG00000259001_AL355075.4,ENSG00000259001,221024.256545162,221024.256545162,193747.901149402,221024.256545162,-0.190023107590093,5,head,Neutral,,,normcounts
ENSG00000167996_FTH1,ENSG00000167996,183778.94858927,183778.94858927,149340.005260363,183778.94858927,-0.29936902177954,6,head,Neutral,,,normcounts
ENSG00000198938_MT-CO3,ENSG00000198938,173514.766316648,173514.766316648,198383.786227771,173514.766316648,0.193234634644664,7,head,Neutral,,,normcounts
ENSG00000269900_RMRP,ENSG00000269900,170674.019405055,170674.019405055,144893.429573164,170674.019405055,-0.236249783963203,8,head,Neutral,,,normcounts
ENSG00000198886_MT-ND4,ENSG00000198886,154900.532674598,154900.532674598,145389.808445033,154900.532674598,-0.0914153534817146,9,head,Neutral,,,normcounts
ENSG00000198712_MT-CO2,ENSG00000198712,153025.872214789,153025.872214789,170669.922014087,153025.872214789,0.157432261770971,10,head,Neutral,,,normcounts
ENSG00000171346_KRT15,ENSG00000171346,140964.458134331,140964.458134331,124831.285139522,140964.458134331,-0.175350587143075,11,head,Neutral,,,normcounts
ENSG00000167658_EEF2,ENSG00000167658,127811.036561263,127811.036561263,116091.127085841,127811.036561263,-0.138753569354822,12,head,Neutral,,,normcounts
ENSG00000198727_MT-CYB,ENSG00000198727,113433.047830152,113433.047830152,113804.241708262,113433.047830152,0.00471326982719589,13,head,Neutral,,,normcounts
ENSG00000124942_AHNAK,ENSG00000124942,109488.349052655,109488.349052655,126982.774684294,109488.349052655,0.21385363522009,14,head,Neutral,,,normcounts
ENSG00000178209_PLEC,ENSG00000178209,95171.9336521841,95171.9336521841,101315.065317966,95171.9336521841,0.0902397079980162,15,head,Neutral,,,normcounts
ENSG00000135480_KRT7,ENSG00000135480,91375.4324535072,91375.4324535072,96683.40997023,91375.4324535072,0.0814611613173319,16,head,Neutral,,,normcounts
ENSG00000198763_MT-ND2,ENSG00000198763,89015.5745528206,89015.5745528206,85815.9470380875,89015.5745528206,-0.0528114077850859,17,head,Neutral,,,normcounts
ENSG00000205426_KRT81,ENSG00000205426,86826.9312460837,86826.9312460837,75220.0259357744,86826.9312460837,-0.207023227378922,18,head,Neutral,,,normcounts
ENSG00000125730_C3,ENSG00000125730,86676.1062949793,86676.1062949793,68445.7765302047,86676.1062949793,-0.340668390014411,19,head,Down,,,normcounts
ENSG00000140988_RPS2,ENSG00000140988,82680.7570226374,82680.7570226374,71083.9230577601,82680.7570226374,-0.218025446853641,20,head,Neutral,,,normcounts
ENSG00000198899_MT-ATP6,ENSG00000198899,81893.5657936836,81893.5657936836,81355.894640598,81893.5657936836,-0.00950311021854588,21,head,Neutral,,,normcounts
ENSG00000198786_MT-ND5,ENSG00000198786,73353.5372314786,73353.5372314786,69845.9604169739,73353.5372314786,-0.0706888701805113,22,head,Neutral,,,normcounts
ENSG00000142541_RPL13A,ENSG00000142541,71727.8110347094,71727.8110347094,59127.8594633229,71727.8110347094,-0.278690267863128,23,head,Neutral,,,normcounts
ENSG00000099194_SCD,ENSG00000099194,62670.6715292625,62670.6715292625,74433.7535568669,62670.6715292625,0.248162900313513,24,head,Neutral,,,normcounts
ENSG00000070756_PABPC1,ENSG00000070756,62056.9304927163,62056.9304927163,54716.6261641623,62056.9304927163,-0.181609944100979,25,head,Neutral,,,normcounts
ENSG00000111640_GAPDH,ENSG00000111640,61435.2394701413,61435.2394701413,65760.3071272507,61435.2394701413,0.0981490645451064,26,head,Neutral,,,normcounts
ENSG00000089157_RPLP0,ENSG00000089157,60112.8538632142,60112.8538632142,55236.2405932312,60112.8538632142,-0.122056262569616,27,head,Neutral,,,normcounts
ENSG00000174444_RPL4,ENSG00000174444,60090.4194958587,60090.4194958587,57881.6920653293,60090.4194958587,-0.0540269802951912,28,head,Neutral,,,normcounts
ENSG00000133112_TPT1,ENSG00000133112,59532.1494330097,59532.1494330097,61451.9144562835,59532.1494330097,0.0457882151607301,29,head,Neutral,,,normcounts
ENSG00000100316_RPL3,ENSG00000100316,59398.4471321786,59398.4471321786,56570.8892357272,59398.4471321786,-0.0703641519900682,30,head,Neutral,,,normcounts
ENSG00000198888_MT-ND1,ENSG00000198888,58968.6118468439,58968.6118468439,56414.4209659878,58968.6118468439,-0.0638821256216851,31,head,Neutral,,,normcounts
ENSG00000109971_HSPA8,ENSG00000109971,57846.191634265,57846.191634265,80393.2483579245,57846.191634265,0.47484536936294,32,head,Up,,,normcounts
ENSG00000075624_ACTB,ENSG00000075624,56333.8872776668,56333.8872776668,52249.5077896906,56333.8872776668,-0.108583578690586,33,head,Neutral,,,normcounts
ENSG00000117984_CTSD,ENSG00000117984,56003.1396467294,56003.1396467294,41725.3916330765,56003.1396467294,-0.424573304238599,34,head,Down,,,normcounts
ENSG00000161016_RPL8,ENSG00000161016,52112.2910672163,52112.2910672163,51720.5884611958,52112.2910672163,-0.0108847834258388,35,head,Neutral,,,normcounts
ENSG00000272398_CD24,ENSG00000272398,49508.3055341034,49508.3055341034,41152.2539472937,49508.3055341034,-0.266693205157482,36,head,Neutral,,,normcounts
ENSG00000169710_FASN,ENSG00000169710,49308.2638693938,49308.2638693938,44981.4705025309,49308.2638693938,-0.132495817025813,37,head,Neutral,,,normcounts
ENSG00000186081_KRT5,ENSG00000186081,48387.464851737,48387.464851737,58108.3737321407,48387.464851737,0.264107736528604,38,head,Neutral,,,normcounts
ENSG00000148303_RPL7A,ENSG00000148303,46721.9197797887,46721.9197797887,45504.7789237789,46721.9197797887,-0.0380806636575297,39,head,Neutral,,,normcounts
ENSG00000167526_RPL13,ENSG00000167526,46264.7670381742,46264.7670381742,38970.960625412,46264.7670381742,-0.24750859611763,40,head,Neutral,,,normcounts
ENSG00000067225_PKM,ENSG00000067225,45696.5846587928,45696.5846587928,44263.2773320266,45696.5846587928,-0.04597504585991,41,head,Neutral,,,normcounts
ENSG00000181143_MUC16,ENSG00000181143,44960.178993085,44960.178993085,51844.3006748538,44960.178993085,0.205533360139475,42,head,Neutral,,,normcounts
ENSG00000170421_KRT8,ENSG00000170421,44890.4027699157,44890.4027699157,52921.3345039119,44890.4027699157,0.237437524616906,43,head,Neutral,,,normcounts
ENSG00000174748_RPL15,ENSG00000174748,43419.993589102,43419.993589102,37826.5152086383,43419.993589102,-0.198956726468737,44,head,Neutral,,,normcounts
ENSG00000254772_EEF1G,ENSG00000254772,43341.9789776598,43341.9789776598,44592.5622025245,43341.9789776598,0.0410371352006944,45,head,Neutral,,,normcounts
ENSG00000137154_RPS6,ENSG00000137154,43172.277870191,43172.277870191,38503.847602607,43172.277870191,-0.165098544904152,46,head,Neutral,,,normcounts
ENSG00000103257_SLC7A5,ENSG00000103257,42608.2529562931,42608.2529562931,35932.2462877803,42608.2529562931,-0.245847480347356,47,head,Neutral,,,normcounts
ENSG00000149273_RPS3,ENSG00000149273,39672.9623708605,39672.9623708605,36874.2550754766,39672.9623708605,-0.105539462558049,48,head,Neutral,,,normcounts
ENSG00000145425_RPS3A,ENSG00000145425,38796.1479396855,38796.1479396855,37721.4302784019,38796.1479396855,-0.0405279757004333,49,head,Neutral,,,normcounts
ENSG00000168028_RPSA,ENSG00000168028,38071.1327010774,38071.1327010774,32541.0775393772,38071.1327010774,-0.226429030200148,50,head,Neutral,,,normcounts
ENSG00000115112_TFCP2L1,ENSG00000115112,37889.1303289707,37889.1303289707,31130.5235137814,37889.1303289707,-0.283445921116719,51,head,Neutral,,,normcounts
ENSG00000182718_ANXA2,ENSG00000182718,36807.5701712685,36807.5701712685,45507.428523013,36807.5701712685,0.306092059328757,52,head,Neutral,,,normcounts
ENSG00000184009_ACTG1,ENSG00000184009,36508.5646518473,36508.5646518473,35278.9678360415,36508.5646518473,-0.0494252202362748,53,head,Neutral,,,normcounts
ENSG00000204628_RACK1,ENSG00000204628,36479.373091259,36479.373091259,37296.7692988198,36479.373091259,0.0319688642261848,54,head,Neutral,,,normcounts
ENSG00000167653_PSCA,ENSG00000167653,36394.1848205097,36394.1848205097,24133.1229758416,36394.1848205097,-0.592673189881312,55,head,Down,,,normcounts
ENSG00000229117_RPL41,ENSG00000229117,35928.8573865836,35928.8573865836,32734.335916045,35928.8573865836,-0.134334425658006,56,head,Neutral,,,normcounts
ENSG00000063046_EIF4B,ENSG00000063046,34542.3506760906,34542.3506760906,33582.1992920738,34542.3506760906,-0.0406683551903502,57,head,Neutral,,,normcounts
ENSG00000163931_TKT,ENSG00000163931,34506.3591743826,34506.3591743826,30856.8617025489,34506.3591743826,-0.161265975761093,58,head,Neutral,,,normcounts
ENSG00000142937_RPS8,ENSG00000142937,33621.2144953557,33621.2144953557,32011.4518282341,33621.2144953557,-0.0707815725651102,59,head,Neutral,,,normcounts
ENSG00000187514_PTMA,ENSG00000187514,33469.7952209118,33469.7952209118,36942.4077729581,33469.7952209118,0.142414123144601,60,head,Neutral,,,normcounts
ENSG00000198034_RPS4X,ENSG00000198034,33308.6809574597,33308.6809574597,34120.749281648,33308.6809574597,0.0347500737483415,61,head,Neutral,,,normcounts
ENSG00000149925_ALDOA,ENSG00000149925,33265.969368133,33265.969368133,27359.5913252409,33265.969368133,-0.2819910316984,62,head,Neutral,,,normcounts
ENSG00000096384_HSP90AB1,ENSG00000096384,32988.0715105843,32988.0715105843,39275.409147491,32988.0715105843,0.25167486374005,63,head,Neutral,,,normcounts
ENSG00000080824_HSP90AA1,ENSG00000080824,32565.3792785388,32565.3792785388,44262.0083476391,32565.3792785388,0.442718177444339,64,head,Up,,,normcounts
ENSG00000181163_NPM1,ENSG00000181163,32395.9123793378,32395.9123793378,36006.5234920307,32395.9123793378,0.152442055816717,65,head,Neutral,,,normcounts
ENSG00000231500_RPS18,ENSG00000231500,32093.369236866,32093.369236866,31962.4878853515,32093.369236866,-0.00589536234921262,66,head,Neutral,,,normcounts
ENSG00000106211_HSPB1,ENSG00000106211,31928.1419371983,31928.1419371983,21914.7626033335,31928.1419371983,-0.542904901254705,67,head,Down,,,normcounts
ENSG00000147604_RPL7,ENSG00000147604,31465.168217309,31465.168217309,32489.0699699018,31465.168217309,0.0461973450274371,68,head,Neutral,,,normcounts
ENSG00000163399_ATP1A1,ENSG00000163399,30948.9396090172,30948.9396090172,31366.16588078,30948.9396090172,0.0193185887800205,69,head,Neutral,,,normcounts
ENSG00000134333_LDHA,ENSG00000134333,30761.0492709978,30761.0492709978,37221.110885675,30761.0492709978,0.275008259410509,70,head,Neutral,,,normcounts
ENSG00000096696_DSP,ENSG00000096696,30739.666381775,30739.666381775,31869.226358389,30739.666381775,0.0520608264631122,71,head,Neutral,,,normcounts
ENSG00000147403_RPL10,ENSG00000147403,30682.3173107758,30682.3173107758,29709.8075287249,30682.3173107758,-0.0464666498694584,72,head,Neutral,,,normcounts
ENSG00000135486_HNRNPA1,ENSG00000135486,29765.1706062209,29765.1706062209,31349.9264084426,29765.1706062209,0.0748344428062975,73,head,Neutral,,,normcounts
ENSG00000137818_RPLP1,ENSG00000137818,29721.5465736387,29721.5465736387,23860.6539593076,29721.5465736387,-0.316863682428284,74,head,Neutral,,,normcounts
ENSG00000185567_AHNAK2,ENSG00000185567,29635.493784712,29635.493784712,25857.8854537887,29635.493784712,-0.196714681544398,75,head,Neutral,,,normcounts
ENSG00000166825_ANPEP,ENSG00000166825,29132.0379441421,29132.0379441421,23812.8759730046,29132.0379441421,-0.290853696759292,76,head,Neutral,,,normcounts
ENSG00000013588_GPRC5A,ENSG00000013588,28840.8142617579,28840.8142617579,50418.5777619232,28840.8142617579,0.805822117881194,77,head,Up,,,normcounts
ENSG00000197958_RPL12,ENSG00000197958,28079.1574779841,28079.1574779841,27737.5675448136,28079.1574779841,-0.0176577395643136,78,head,Neutral,,,normcounts
ENSG00000105640_RPL18A,ENSG00000105640,27667.8541586887,27667.8541586887,28684.0866722277,27667.8541586887,0.0520379777898405,79,head,Neutral,,,normcounts
ENSG00000122406_RPL5,ENSG00000122406,27558.4885042751,27558.4885042751,27378.4559040086,27558.4885042751,-0.00945533526765985,80,head,Neutral,,,normcounts
ENSG00000143947_RPS27A,ENSG00000143947,27140.6751198338,27140.6751198338,23651.553323007,27140.6751198338,-0.198513830498317,81,head,Neutral,,,normcounts
ENSG00000127022_CANX,ENSG00000127022,26991.6008097779,26991.6008097779,28021.2829181366,26991.6008097779,0.0540105029196099,82,head,Neutral,,,normcounts
ENSG00000089009_RPL6,ENSG00000089009,26178.1158237298,26178.1158237298,28160.8018735514,26178.1158237298,0.10532327236192,83,head,Neutral,,,normcounts
ENSG00000197756_RPL37A,ENSG00000197756,26105.0069271729,26105.0069271729,25214.2861059756,26105.0069271729,-0.050083210559059,84,head,Neutral,,,normcounts
ENSG00000186468_RPS23,ENSG00000186468,26041.2266950998,26041.2266950998,24589.7894285271,26041.2266950998,-0.0827347589427507,85,head,Neutral,,,normcounts
ENSG00000197746_PSAP,ENSG00000197746,25932.7803461119,25932.7803461119,19799.5054588925,25932.7803461119,-0.389295262724369,86,head,Down,,,normcounts
ENSG00000136068_FLNB,ENSG00000136068,25779.8876667494,25779.8876667494,34827.8797094181,25779.8876667494,0.433982130302493,87,head,Up,,,normcounts
ENSG00000197956_S100A6,ENSG00000197956,25668.7597162122,25668.7597162122,26890.4324557388,25668.7597162122,0.0670768153763959,88,head,Neutral,,,normcounts
ENSG00000164924_YWHAZ,ENSG00000164924,25390.0603288219,25390.0603288219,27259.1810449269,25390.0603288219,0.102474500562584,89,head,Neutral,,,normcounts
ENSG00000196262_PPIA,ENSG00000196262,25305.1957199492,25305.1957199492,27503.4186898566,25305.1957199492,0.120172768299284,90,head,Neutral,,,normcounts
ENSG00000196136_SERPINA3,ENSG00000196136,24466.6602033207,24466.6602033207,23882.3578509892,24466.6602033207,-0.0348704610018871,91,head,Neutral,,,normcounts
ENSG00000162244_RPL29,ENSG00000162244,24441.4338892726,24441.4338892726,27570.0383873115,24441.4338892726,0.173765652840812,92,head,Neutral,,,normcounts
ENSG00000105193_RPS16,ENSG00000105193,24425.3431543969,24425.3431543969,21506.270053286,24425.3431543969,-0.183613482049275,93,head,Neutral,,,normcounts
ENSG00000116133_DHCR24,ENSG00000116133,24397.9886493907,24397.9886493907,23352.5479115746,24397.9886493907,-0.0631796052544722,94,head,Neutral,,,normcounts
ENSG00000168209_DDIT4,ENSG00000168209,24262.6697275466,24262.6697275466,22042.5645813614,24262.6697275466,-0.138440229992208,95,head,Neutral,,,normcounts
ENSG00000118849_RARRES1,ENSG00000118849,24234.0551752276,24234.0551752276,20425.7559670579,24234.0551752276,-0.24663526341101,96,head,Neutral,,,normcounts
ENSG00000163682_RPL9,ENSG00000163682,24150.4805071801,24150.4805071801,22996.8766385812,24150.4805071801,-0.0706109649316122,97,head,Neutral,,,normcounts
ENSG00000110321_EIF4G2,ENSG00000110321,24013.8272117485,24013.8272117485,26391.0863784843,24013.8272117485,0.136179976482678,98,head,Neutral,,,normcounts
ENSG00000198242_RPL23A,ENSG00000198242,23969.092075408,23969.092075408,25679.2116754111,23969.092075408,0.0994216435075632,99,head,Neutral,,,normcounts
ENSG00000074800_ENO1,ENSG00000074800,23832.7967191172,23832.7967191172,25047.728842411,23832.7967191172,0.0717286014006611,100,head,Neutral,,,normcounts
ENSG00000100994_PYGB,ENSG00000100994,23677.8555386493,23677.8555386493,21620.3397690268,23677.8555386493,-0.131143430785757,101,head,Neutral,,,normcounts
ENSG00000262202_AC007952.4,ENSG00000262202,23502.9222918247,23502.9222918247,11712.1756418731,23502.9222918247,-1.00476926308168,102,head,Down,,,normcounts
ENSG00000164587_RPS14,ENSG00000164587,23467.5731514715,23467.5731514715,20395.4302693022,23467.5731514715,-0.20241345365279,103,head,Neutral,,,normcounts
ENSG00000110955_ATP5F1B,ENSG00000110955,23334.680544191,23334.680544191,21012.5533482524,23334.680544191,-0.151217402209555,104,head,Neutral,,,normcounts
ENSG00000125691_RPL23,ENSG00000125691,23020.8642685447,23020.8642685447,23897.5899599292,23020.8642685447,0.0539208352937202,105,head,Neutral,,,normcounts
ENSG00000205420_KRT6A,ENSG00000205420,22970.7464006564,22970.7464006564,41880.9218238913,22970.7464006564,0.866467104206661,106,head,Up,,,normcounts
ENSG00000182774_RPS17,ENSG00000182774,22749.1486343123,22749.1486343123,25010.7897870852,22749.1486343123,0.136732326255371,107,head,Neutral,,,normcounts
ENSG00000122026_RPL21,ENSG00000122026,22573.8234838202,22573.8234838202,22062.7819986961,22573.8234838202,-0.0330345996057293,108,head,Neutral,,,normcounts
ENSG00000115053_NCL,ENSG00000115053,22419.7053094774,22419.7053094774,29640.4823781973,22419.7053094774,0.402785935910979,109,head,Up,,,normcounts
ENSG00000086062_B4GALT1,ENSG00000086062,22248.7167333206,22248.7167333206,18419.9827691115,22248.7167333206,-0.272436936865359,110,head,Neutral,,,normcounts
ENSG00000198840_MT-ND3,ENSG00000198840,22215.6854142472,22215.6854142472,18177.3145526994,22215.6854142472,-0.289425149312589,111,head,Neutral,,,normcounts
ENSG00000144713_RPL32,ENSG00000144713,22135.5699036165,22135.5699036165,24093.019882858,22135.5699036165,0.122243423521489,112,head,Neutral,,,normcounts
ENSG00000103335_PIEZO1,ENSG00000103335,22073.530702893,22073.530702893,15950.0385494157,22073.530702893,-0.468732408119072,113,head,Down,,,normcounts
ENSG00000138326_RPS24,ENSG00000138326,21832.6576321162,21832.6576321162,23570.6506279645,21832.6576321162,0.110498953594789,114,head,Neutral,,,normcounts
ENSG00000108298_RPL19,ENSG00000108298,21789.6185254149,21789.6185254149,23351.8413633245,21789.6185254149,0.0998909468999667,115,head,Neutral,,,normcounts
ENSG00000212907_MT-ND4L,ENSG00000212907,21721.8971281888,21721.8971281888,22201.0359482569,21721.8971281888,0.0314754545925862,116,head,Neutral,,,normcounts
ENSG00000115306_SPTBN1,ENSG00000115306,21689.2449436476,21689.2449436476,25476.7032565121,21689.2449436476,0.232188883372455,117,head,Neutral,,,normcounts
MYCER-ER,,21581.3978208435,21581.3978208435,16893.8958517767,21581.3978208435,-0.353267701182345,118,head,Down,,,normcounts
ENSG00000142192_APP,ENSG00000142192,21496.0070603705,21496.0070603705,21670.4274969322,21496.0070603705,0.0116583735683697,119,head,Neutral,,,normcounts
ENSG00000114867_EIF4G1,ENSG00000114867,21477.3090945867,21477.3090945867,22115.5349775146,21477.3090945867,0.0422449547053017,120,head,Neutral,,,normcounts
ENSG00000117983_MUC5B,ENSG00000117983,21152.2988767132,21152.2988767132,14305.1459904739,21152.2988767132,-0.564247601491141,121,head,Down,,,normcounts
ENSG00000034510_TMSB10,ENSG00000034510,21047.0259927563,21047.0259927563,19858.1745202338,21047.0259927563,-0.0838792791562675,122,head,Neutral,,,normcounts
ENSG00000112378_PERP,ENSG00000112378,21001.1783774841,21001.1783774841,17684.5443091809,21001.1783774841,-0.247968352504739,123,head,Neutral,,,normcounts
ENSG00000108107_RPL28,ENSG00000108107,20992.0469416638,20992.0469416638,17724.1804511791,20992.0469416638,-0.244111260435075,124,head,Neutral,,,normcounts
ENSG00000063177_RPL18,ENSG00000063177,20866.5481933049,20866.5481933049,18072.3133617107,20866.5481933049,-0.207400084561886,125,head,Neutral,,,normcounts
ENSG00000119335_SET,ENSG00000119335,20732.0059359441,20732.0059359441,22286.0083722035,20732.0059359441,0.104273675833124,126,head,Neutral,,,normcounts
ENSG00000166598_HSP90B1,ENSG00000166598,20572.1562331623,20572.1562331623,27368.6532526622,20572.1562331623,0.411814015181607,127,head,Up,,,normcounts
ENSG00000167978_SRRM2,ENSG00000167978,20488.7416498692,20488.7416498692,21590.6929162158,20488.7416498692,0.0755745697292802,128,head,Neutral,,,normcounts
ENSG00000044574_HSPA5,ENSG00000044574,20363.6722497099,20363.6722497099,29256.8307210485,20363.6722497099,0.5227542112283,129,head,Up,,,normcounts
ENSG00000198755_RPL10A,ENSG00000198755,20307.2257450826,20307.2257450826,19805.4411060142,20307.2257450826,-0.0360945274077462,130,head,Neutral,,,normcounts
ENSG00000144381_HSPD1,ENSG00000144381,20303.4739005148,20303.4739005148,23724.0907329744,20303.4739005148,0.224615957855852,131,head,Neutral,,,normcounts
ENSG00000105372_RPS19,ENSG00000105372,20173.7163999572,20173.7163999572,17619.4978402372,20173.7163999572,-0.195293707413802,132,head,Neutral,,,normcounts
ENSG00000096060_FKBP5,ENSG00000096060,20054.0041662739,20054.0041662739,21472.3778552474,20054.0041662739,0.0985868853588894,133,head,Neutral,,,normcounts
ENSG00000100345_MYH9,ENSG00000100345,19748.706950294,19748.706950294,20747.6148683407,19748.706950294,0.071183782062727,134,head,Neutral,,,normcounts
ENSG00000161960_EIF4A1,ENSG00000161960,19283.7510590078,19283.7510590078,21860.2178768138,19283.7510590078,0.180913252246665,135,head,Neutral,,,normcounts
ENSG00000170889_RPS9,ENSG00000170889,19135.6104961987,19135.6104961987,16619.2334828666,19135.6104961987,-0.203394670854715,136,head,Neutral,,,normcounts
ENSG00000100201_DDX17,ENSG00000100201,19134.0848074141,19134.0848074141,19454.4983115918,19134.0848074141,0.02395763727821,137,head,Neutral,,,normcounts
ENSG00000151726_ACSL1,ENSG00000151726,19116.3387144293,19116.3387144293,15856.3285390008,19116.3387144293,-0.269731959889873,138,head,Neutral,,,normcounts
ENSG00000111057_KRT18,ENSG00000111057,19042.4938060616,19042.4938060616,25543.5136256771,19042.4938060616,0.423715280374092,139,head,Up,,,normcounts
ENSG00000265681_RPL17,ENSG00000265681,18974.4228989515,18974.4228989515,20230.1954948973,18974.4228989515,0.0924495347934009,140,head,Neutral,,,normcounts
ENSG00000083845_RPS5,ENSG00000083845,18602.4233573308,18602.4233573308,17975.7480803009,18602.4233573308,-0.0494360601803159,141,head,Neutral,,,normcounts
ENSG00000142534_RPS11,ENSG00000142534,18317.6100453029,18317.6100453029,20596.3259332625,18317.6100453029,0.169147009632072,142,head,Neutral,,,normcounts
ENSG00000132507_EIF5A,ENSG00000132507,18276.6993765509,18276.6993765509,20564.6220914987,18276.6993765509,0.170150223666068,143,head,Neutral,,,normcounts
ENSG00000197102_DYNC1H1,ENSG00000197102,18247.8391733492,18247.8391733492,17772.7595844853,18247.8391733492,-0.0380558167554561,144,head,Neutral,,,normcounts
ENSG00000137699_TRIM29,ENSG00000137699,18217.7818428922,18217.7818428922,20548.618735235,18217.7818428922,0.173685127428318,145,head,Neutral,,,normcounts
ENSG00000084207_GSTP1,ENSG00000084207,18202.3518898063,18202.3518898063,15763.8070546445,18202.3518898063,-0.207496613777696,146,head,Neutral,,,normcounts
ENSG00000171863_RPS7,ENSG00000171863,18159.4403918837,18159.4403918837,18185.8834359361,18159.4403918837,0.0020991507067496,147,head,Neutral,,,normcounts
ENSG00000111319_SCNN1A,ENSG00000111319,18127.2548704687,18127.2548704687,15786.914748585,18127.2548704687,-0.199419415572409,148,head,Neutral,,,normcounts
ENSG00000175061_SNHG29,ENSG00000175061,17950.5392257046,17950.5392257046,17541.0991192641,17950.5392257046,-0.0332861572987611,149,head,Neutral,,,normcounts
ENSG00000163993_S100P,ENSG00000163993,17944.7033637294,17944.7033637294,15679.4720545491,17944.7033637294,-0.194669477354696,150,head,Neutral,,,normcounts
ENSG00000161970_RPL26,ENSG00000161970,17793.8401328649,17793.8401328649,20161.0035286944,17793.8401328649,0.180180036870945,151,head,Neutral,,,normcounts
ENSG00000112306_RPS12,ENSG00000112306,17718.0479942501,17718.0479942501,16409.0286167827,17718.0479942501,-0.110723338410361,152,head,Neutral,,,normcounts
ENSG00000153187_HNRNPU,ENSG00000153187,17704.9458724796,17704.9458724796,22342.7754389991,17704.9458724796,0.335639063071513,153,head,Up,,,normcounts
ENSG00000185499_MUC1,ENSG00000185499,17694.2303800641,17694.2303800641,13141.9826932678,17694.2303800641,-0.429067824060596,154,head,Down,,,normcounts
ENSG00000130707_ASS1,ENSG00000130707,17568.7869338825,17568.7869338825,16755.5990739454,17568.7869338825,-0.0683673273256353,155,head,Neutral,,,normcounts
ENSG00000099204_ABLIM1,ENSG00000099204,17525.0909362292,17525.0909362292,15690.179077306,17525.0909362292,-0.159550485260565,156,head,Neutral,,,normcounts
ENSG00000086758_HUWE1,ENSG00000086758,17510.4006204219,17510.4006204219,15982.3827335515,17510.4006204219,-0.131721706462892,157,head,Neutral,,,normcounts
ENSG00000139644_TMBIM6,ENSG00000139644,17353.3789434246,17353.3789434246,15374.4164635216,17353.3789434246,-0.174674248456663,158,head,Neutral,,,normcounts
ENSG00000130402_ACTN4,ENSG00000130402,17311.0672738147,17311.0672738147,20969.8042132346,17311.0672738147,0.276604178145361,159,head,Neutral,,,normcounts
ENSG00000110700_RPS13,ENSG00000110700,17180.0700426054,17180.0700426054,14779.4142456804,17180.0700426054,-0.217133186811202,160,head,Neutral,,,normcounts
ENSG00000155066_PROM2,ENSG00000155066,17091.9259888298,17091.9259888298,12930.2165860281,17091.9259888298,-0.402541368329098,161,head,Down,,,normcounts
ENSG00000179218_CALR,ENSG00000179218,17048.5681035695,17048.5681035695,17657.105005017,17048.5681035695,0.0505953335784266,162,head,Neutral,,,normcounts
ENSG00000166441_RPL27A,ENSG00000166441,17048.0617552344,17048.0617552344,17122.824193909,17048.0617552344,0.00631258195550188,163,head,Neutral,,,normcounts
ENSG00000124614_RPS10,ENSG00000124614,16922.9477257039,16922.9477257039,16143.6470527277,16922.9477257039,-0.0680102329275805,164,head,Neutral,,,normcounts
ENSG00000151208_DLG5,ENSG00000151208,16897.3640420848,16897.3640420848,14264.6879349222,16897.3640420848,-0.244334263884728,165,head,Neutral,,,normcounts
ENSG00000229807_XIST,ENSG00000229807,16802.0321951855,16802.0321951855,17610.1086011185,16802.0321951855,0.0677641298172969,166,head,Neutral,,,normcounts
ENSG00000130741_EIF2S3,ENSG00000130741,16769.5537300487,16769.5537300487,15956.4060149259,16769.5537300487,-0.0717041738745774,167,head,Neutral,,,normcounts
ENSG00000130702_LAMA5,ENSG00000130702,16652.8507235747,16652.8507235747,10541.5188881807,16652.8507235747,-0.659636191186525,168,head,Down,,,normcounts
ENSG00000196576_PLXNB2,ENSG00000196576,16625.7098353859,16625.7098353859,11283.9288080762,16625.7098353859,-0.559105392993907,169,head,Down,,,normcounts
ENSG00000137309_HMGA1,ENSG00000137309,16602.0357817452,16602.0357817452,22641.8982286648,16602.0357817452,0.447611575746778,170,head,Up,,,normcounts
ENSG00000163435_ELF3,ENSG00000163435,16554.5596067757,16554.5596067757,11522.1712288336,16554.5596067757,-0.522777969543601,171,head,Down,,,normcounts
ENSG00000150991_UBC,ENSG00000150991,16548.3871343216,16548.3871343216,17404.1162884106,16548.3871343216,0.072733661765513,172,head,Neutral,,,normcounts
ENSG00000253729_PRKDC,ENSG00000253729,16478.389057908,16478.389057908,20577.4472214307,16478.389057908,0.320471367222362,173,head,Up,,,normcounts
ENSG00000145592_RPL37,ENSG00000145592,16243.0669686925,16243.0669686925,14570.3335203393,16243.0669686925,-0.156779965990157,174,head,Neutral,,,normcounts
ENSG00000065978_YBX1,ENSG00000065978,16096.7967212343,16096.7967212343,21133.563395559,16096.7967212343,0.39274106645809,175,head,Up,,,normcounts
